,state,city,crime_index,traffic_time_index,cpi_and_rent_index,purchasing_power_incl_rent_index,restaurant_price_index,property_price_to_income_ratio,climate_index,safety_index,traffic_co2_index,cpi_index,traffic_inefficiency_index,quality_of_life_index,rent_index,health_care_index,traffic_index,groceries_index,pollution_index
0,California,Cupertino,,,,,84.64827116636071,,95.11599222652391,,,,,,,,,,
1,California,Irvine,18.666187739463602,17.25,75.30212848201487,118.28970836213801,76.49771231135865,5.501731487521514,96.4037745496666,81.33381226053639,3358.25,83.72353381436591,42.907272233824656,200.86540086936304,66.26120008433251,74.35515873015873,85.90408604860386,89.49280208374347,27.183908045977013
2,California,Los Angeles,48.43211746868063,48.094594594594604,75.84981481246984,104.74992369203775,82.482642796056,7.0099543332703,95.89599687582671,51.567882531319384,11261.783783783785,82.33177383965034,331.21011860308374,136.54255609911996,68.89100863598468,64.26440924041526,244.070294732452,82.72572982892807,61.933266349448324
3,California,Menlo Park,24.6875,18.75,,,74.76025397155729,12.538665528001792,96.58042355434378,75.3125,4987.5,,63.072460633227756,,108.23227562555036,86.11111111111111,101.64417869032741,,43.10344827586207
4,California,Mountain View,17.96875,28.5,,,81.64636925197757,8.709789083333334,96.15257915764634,82.03125,7581,,121.69972582220109,,87.00323243080979,77.77777777777777,134.25740908790385,,56.89655172413793
5,California,Palo Alto,24.6875,18.75,,,74.76025397155729,12.538665528001792,96.58042355434378,75.3125,4987.5,,63.072460633227756,,108.23227562555036,86.11111111111111,101.64417869032741,,43.10344827586207
6,California,San Diego,34.55007485635396,39.08771929824562,69.67360562119124,130.54326601889582,82.0947691440363,4.5822826681546305,96.9936437916344,65.44992514364604,7786.666666666667,76.92821728156909,227.3421878654905,184.89484233811476,61.885306401997056,73.71368917937545,179.3683816086568,75.08548069657407,33.528496704955494
7,California,San Francisco,49.344162586728565,45.40909090909091,106.33327328225113,105.42909825758835,91.05946083496622,8.733510064367175,97.16281131851524,50.65583741327143,7277.681818181819,97.92630292869973,268.6490876110394,152.96792555931123,115.3587047878354,72.63162285092109,207.77293052688952,107.51868453642517,37.42285388837113
8,California,San Jose,46.61087897107633,33.121212121212125,82.4017436140242,156.09529325348274,83.11839438010179,4.67337442509838,95.01910859022212,53.38912102892367,8109.515151515152,82.95421447635016,173.3203402397867,177.06119496897242,81.80863007644076,70.40668119099492,154.50558081541695,85.40181129949684,51.123552208570054
9,California,San Mateo,31.875,55,87.54200109258502,112.03427447030396,82.18520489973159,8.767283168258889,,68.125,14630,91.32395014424984,306.3594398904551,,83.48183188918217,74.07407407407408,295.49662494232274,95.14477006278503,
10,California,Santa Clara,,,,,57.714149949007506,,95.44006892606207,,,,,,,,,,
11,California,Santa Monica,50.26041666666666,45,88.30663280913622,69.60022526150354,96.64247177578552,4.6805833859894665,95.85674087941163,49.73958333333334,11970,78.14769167305866,229.88049543493247,,99.21291932342115,,228.6037143006636,77.00521937436132,42.241379310344826
12,California,Sunnyvale,17.96875,28.5,,,81.64636925197757,8.709789083333334,96.15257915764634,82.03125,7581,,121.69972582220109,,87.00323243080979,77.77777777777777,134.25740908790385,,56.89655172413793
13,Colorado,Boulder,18.57638888888889,14.8,68.49717385222677,119.77347995799828,74.91517986080093,5.317477556952357,62.91870209044044,81.4236111111111,478.8,82.18904895599125,4.9546022967134125,204.01890576061604,53.79805208360548,80.32407407407408,42.75446944200823,86.22414968149687,12.824302134646963
14,Colorado,Denver,37.78083587020142,37.43076923076923,66.1032091034549,113.13320626655235,78.13396049457208,4.114809865327759,56.89333695796511,62.21916412979857,8906.153846153846,76.77346573117886,220.81659043460962,157.6460627866741,54.64799202875127,70.6454837827387,177.99720049725116,76.959597493034,41.63182998547272
15,District of Columbia,Washington,57.49777019429142,43.875,82.9463825898273,121.24539568478106,84.9983081601613,4.325162781130467,83.11498978727127,42.50222980570858,8450.949999999999,91.93572924534763,244.61257638414224,155.4901354976311,73.29573210489026,70.41245791245791,206.06113251029882,92.7409449882194,38.21896321451382
16,Georgia,Atlanta,64.99496269777235,46.91666666666666,61.01820310505657,143.37781764484484,74.81404177170334,2.1969868754321586,89.74132556806204,35.00503730222765,10848.222222222223,75.05273149115396,268.4467968374244,157.11233045337895,45.95122066846555,65.42817105556567,234.22845714101302,75.00118276860633,49.74073854038521
17,Illinois,Chicago,65.36953394236983,45.21538461538461,68.84478651988599,124.88615610933618,77.98785845882567,2.8314271323679545,69.03661078269117,34.63046605763019,7635.138461538462,80.1519811467217,232.08865517769541,148.83676933817867,56.705774922003286,64.84095962754499,207.71997605262996,79.13943559726788,38.86799686532204
18,Indiana,Indianapolis,50.65356182795699,35.315789473684205,56.005688948364984,75.48363497922372,74.25928854036275,2.2705654692880897,72.20590436885387,49.34643817204301,7476.315789473684,74.91281005980461,175.847686043952,145.53252648415744,35.707660124342965,69.0018315018315,159.6216916466072,73.91948981912758,39.138737648719506
19,Massachusetts,Boston,32.84238325551331,45.82978723404256,83.12544420005725,96.429622697799,86.20318436364602,8.704446628770627,72.02821040134846,67.15761674448669,7773.531914893618,87.22841964460643,233.19059912627583,161.90510108975997,78.72063220637283,76.95364497690079,211.62044216847696,88.99033352385975,23.957090467149392
